 | backups/24-08-21 18:42/linuxcnc.var.bak | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629785196 | dea3c27a8997700b7acf5723577d9cdf | 1666 | 00273198ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/mdi_history.dat | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629784303 | a83eb567e22063011cb226194639da75 | 48 | 00273197ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/my.halshow | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629781570 | 1da5e420bfc5eacc311acbe885600afb | 94 | 00273199ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/myscope.halscope | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629697261 | c9262c057aee5456274216fe2d5f32c4 | 211 | 00273200ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/postgui_call_list.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629784561 | 3398404dd9634448d20437440898c8c4 | 87 | 00273201ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/preloader.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1585887810 | ac805ab6f18b0c7f9e9baadd5f53aba6 | 2240 | 00273202ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/probe-results.ngc | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1590483661 | 34dd534981fc73340c441042d05b0b14 | 0 | 00273203ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/qtdragon.log | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629779904 | 2701f9ea93cb9fe3a721cf73cbbec2e6 | 1437 | 00273204ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/qtdragon.var | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629787422 | 05f03a5e73db2b5ff75af866ee8192e4 | 1666 | 00273205ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/qtdragon.var.bak | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629787350 | 860d600d41f07bbc7a5c4bfcfda66db4 | 1666 | 00273206ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/shutdown.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629676556 | 74459150c36fefb0c61aa701981d7123 | 105 | 00273207ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/24-08-21 18:42/tool.tbl | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629784560 | b0419ad5f495c87eed469165edc2523f | 32 | 00273208ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
 | backups/27-08-21 09:22/Luxcut_DM20VS-MESA-orig1.hal | SyncInstruction(CSYNC_INSTRUCTION_REMOVE) | OCC::SyncFileItem::Down | | 1629676556 | c52b525ee3c51ff0ad5ef5efca6b19a1 | 11282 | 00273209ocestnb39k0x | OCC::SyncFileItem::Success |  | 0 | 0 | 0 |  | 
